rusher,rusher_id,posteam,defteam,week,season,game_id,play_id,qtr,down,ydstogo,yardline_100,game_seconds_remaining,yards_gained,touchdown,first_down_rush,tackled_for_loss,fumble,fumbled_1_player_name,run_location,run_gap,epa,success,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_name,desc,score_differential,result_label,field_position,down_distance,qtr_label,game_clock,tackler,display_name,team
A.Kamara,00-0033906,NO,ARI,1,2025,2025_01_ARI_NO,214,1,1,10,77,3387,3,0,0,0,0,NA,middle,NA,-0.19,0,NA,NA,A.Davis-Gaither,(11:27) (Shotgun) 41-A.Kamara up the middle to NO 26 for 3 yards (27-A.Davis-Gaither; 93-C.Campbell).,0,GAIN,NO 77,1 & 10,Q1,56:27,A.Davis-Gaither,Alvin Kamara,NO
A.Kamara,00-0033906,NO,ARI,1,2025,2025_01_ARI_NO,837,1,2,5,44,2853,0,0,0,0,0,NA,NA,NA,-1.08,0,NA,NA,NA,"(2:33) (Shotgun) 41-A.Kamara right guard to ARI 42 for 2 yards (34-J.Thompson; 79-P.Mustipher). PENALTY on NO-51-C.Ruiz, Offensive Holding, 10 yards, enforced at ARI 44 - No Play.",-3,GAIN,ARI 56,2 & 5,Q1,47:33,NA,Alvin Kamara,NO
A.Kamara,00-0033906,NO,ARI,1,2025,2025_01_ARI_NO,910,1,1,10,49,2821,9,0,0,0,0,NA,right,end,0.63,1,A.Davis-Gaither,NA,NA,(2:01) 72-A.Richards reported in as eligible. 41-A.Kamara right end to ARI 40 for 9 yards (27-A.Davis-Gaither).,-3,GAIN,ARI 51,1 & 10,Q1,47:01,A.Davis-Gaither,Alvin Kamara,NO
A.Kamara,00-0033906,NO,ARI,1,2025,2025_01_ARI_NO,934,1,2,1,40,2781,2,0,1,0,0,NA,middle,NA,-0.04,0,C.Campbell,NA,NA,(1:21) (Shotgun) 77-D.Radunz reported in as eligible. 41-A.Kamara up the middle to ARI 38 for 2 yards (93-C.Campbell).,-3,1ST,ARI 60,2 & 1,Q1,46:21,C.Campbell,Alvin Kamara,NO
A.Kamara,00-0033906,NO,ARI,1,2025,2025_01_ARI_NO,1101,2,2,3,18,2666,18,1,1,0,0,NA,right,guard,2.04,1,NA,NA,NA,"(14:26) (No Huddle, Shotgun) 41-A.Kamara right guard for 18 yards, TOUCHDOWN.",-3,TD,ARI 82,2 & 3,Q2,44:26,NA,Alvin Kamara,NO
A.Kamara,00-0033906,NO,ARI,1,2025,2025_01_ARI_NO,2123,2,1,10,71,1823,6,0,0,0,0,NA,left,guard,-0.59,0,NA,NA,J.Sweat,(:23) (Shotgun) 41-A.Kamara left guard to NO 35 for 6 yards (10-J.Sweat; 5-B.Browning).,-7,GAIN,NO 71,1 & 10,Q2,30:23,J.Sweat,Alvin Kamara,NO
A.Kamara,00-0033906,NO,ARI,1,2025,2025_01_ARI_NO,2256,3,1,10,66,1735,1,0,0,0,0,NA,left,end,-0.57,0,NA,NA,B.Baker,"(13:55) (No Huddle, Shotgun) 41-A.Kamara left end to NO 35 for 1 yard (3-B.Baker; 2-Ma.Wilson).",-7,GAIN,NO 66,1 & 10,Q3,28:55,B.Baker,Alvin Kamara,NO
A.Kamara,00-0033906,NO,ARI,1,2025,2025_01_ARI_NO,2586,3,1,10,61,1418,3,0,0,0,0,NA,right,guard,-0.29,0,NA,NA,J.Burch,"(8:38) (No Huddle, Shotgun) 41-A.Kamara right guard to NO 42 for 3 yards (52-J.Burch; 25-Z.Collins).",-10,GAIN,NO 61,1 & 10,Q3,23:38,J.Burch,Alvin Kamara,NO
A.Kamara,00-0033906,NO,ARI,1,2025,2025_01_ARI_NO,2735,3,3,1,38,1295,2,0,1,0,0,NA,middle,NA,0.67,1,L.Collier,NA,NA,"(6:35) (No Huddle, Shotgun) 41-A.Kamara up the middle to ARI 36 for 2 yards (91-L.Collier).",-10,1ST,ARI 62,3 & 1,Q3,21:35,L.Collier,Alvin Kamara,NO
A.Kamara,00-0033906,NO,ARI,1,2025,2025_01_ARI_NO,2782,3,2,2,28,1245,-2,0,0,1,0,NA,left,guard,-1.07,0,B.Baker,NA,NA,"(5:45) (No Huddle, Shotgun) 41-A.Kamara left guard to ARI 30 for -2 yards (3-B.Baker).",-10,TFL,ARI 72,2 & 2,Q3,20:45,B.Baker,Alvin Kamara,NO
A.Kamara,00-0033906,NO,ARI,1,2025,2025_01_ARI_NO,2851,3,2,10,25,1185,5,0,0,0,0,NA,left,guard,-0.13,0,NA,NA,Z.Collins,"(4:45) (No Huddle, Shotgun) 41-A.Kamara left guard to ARI 20 for 5 yards (25-Z.Collins; 34-J.Thompson).",-10,GAIN,ARI 75,2 & 10,Q3,19:45,Z.Collins,Alvin Kamara,NO
